曲A,曲B,演奏公演数,全公演割合,演奏ツアー数,全ツアー割合
Galileo no Showcase,Sawarenai Uta,48,0.0440771349862259,4,0.0975609756097561
Deirai Kyousou Gakudan,cody beats,26,0.023875114784205693,4,0.0975609756097561
Clover,cody beats,29,0.02662993572084481,4,0.0975609756097561
Drum Solo,Invisible Sensation,50,0.04591368227731864,4,0.0975609756097561
Chandelier Waltz,Sanpo Saki My Life,82,0.07529843893480258,4,0.0975609756097561
Galileo no Showcase,Light Flat,67,0.06152433425160698,4,0.0975609756097561
Karakuri Karukare,Tengoku to Jigoku,70,0.0642791551882461,4,0.0975609756097561
Light Flat,Master Volume,22,0.020202020202020204,4,0.0975609756097561
Light Flat,cody beats,6,0.005509641873278237,4,0.0975609756097561
Gyakuten Sayonara,Snow Reverse,35,0.03213957759412305,4,0.0975609756097561
Chandelier Waltz,Siren in the Spy,58,0.05325987144168962,4,0.0975609756097561
Airabuniju,Sanpo Saki My Life,20,0.018365472910927456,4,0.0975609756097561
Full Color Program,Serenade ga Tomaranai,52,0.047750229568411386,4,0.0975609756097561
Siren in the Spy,Tettoutetsubi Yonayona Drive,57,0.05234159779614325,4,0.0975609756097561
Clover,"kid, I like quartet",24,0.02203856749311295,4,0.0975609756097561
Light Flat,MR. Andy,41,0.03764921946740129,4,0.0975609756097561
Nani ka ga Kawari So,Sakura no Ato (all quartets lead to the?),69,0.06336088154269973,4,0.0975609756097561
Airabuniju,Clover,25,0.02295684113865932,4,0.0975609756097561
Clover,Sora no Tobikata,22,0.020202020202020204,4,0.0975609756097561
Invisible Sensation,crazy birthday,52,0.047750229568411386,4,0.0975609756097561
Clover,Light Flat,24,0.02203856749311295,4,0.0975609756097561
